Results,GBP/USD Close,GBP/USD High,GBP/USD Low
Average,  1.612,  1.617,  1.608
Minimum,   1.471,   1.485,   1.463
Maximum,   1.717,   1.719,   1.714
Std,   0.072,   0.070,   0.073
# In Calc, 258, 258, 258

Date,GBP/USD Close,GBP/USD High,GBP/USD Low
2014-10-20,1.6175,1.6179,1.608
2014-10-21,1.6116,1.6185,1.6115
2014-10-22,1.6051,1.6131,1.6011
2014-10-23,1.6022,1.606,1.5995
2014-10-24,1.6084,1.6099,1.6017
2014-10-27,1.6126,1.6147,1.608
2014-10-28,1.6136,1.6182,1.6088
2014-10-29,1.6008,1.6161,1.6007
2014-10-30,1.6006,1.6038,1.5952
2014-10-31,1.5995,1.6011,1.5943
2014-11-03,1.5982,1.6023,1.5927
2014-11-04,1.5997,1.6016,1.5966
2014-11-05,1.5972,1.6022,1.5869
2014-11-06,1.5837,1.6002,1.5834
2014-11-07,1.5876,1.5886,1.5791
2014-11-10,1.5846,1.5917,1.5846
2014-11-11,1.592,1.5945,1.5836
2014-11-12,1.5785,1.594,1.5776
2014-11-13,1.5715,1.5781,1.5695
2014-11-14,1.5672,1.5712,1.5593
2014-11-17,1.5641,1.5736,1.562
2014-11-18,1.5634,1.5679,1.5631
2014-11-19,1.567,1.5721,1.559
2014-11-20,1.5695,1.5737,1.5632
2014-11-21,1.5649,1.5714,1.5626
2014-11-24,1.5707,1.5715,1.5629
2014-11-25,1.5711,1.5736,1.5649
2014-11-26,1.5798,1.5806,1.568
2014-11-27,1.5724,1.5826,1.5717
2014-11-28,1.5626,1.5739,1.5615
2014-12-01,1.5738,1.5764,1.5586
2014-12-02,1.5637,1.5743,1.5632
2014-12-03,1.5685,1.5719,1.562
2014-12-04,1.5672,1.5726,1.5644
2014-12-05,1.5579,1.5695,1.5571
2014-12-08,1.5653,1.5679,1.5541
2014-12-09,1.5662,1.5717,1.5627
2014-12-10,1.5713,1.5719,1.5648
2014-12-11,1.5713,1.5757,1.5653
2014-12-12,1.572,1.5746,1.5695
2014-12-15,1.5652,1.5747,1.5601
2014-12-16,1.573,1.5785,1.5613
2014-12-17,1.5576,1.5754,1.5541
2014-12-18,1.5669,1.5677,1.555
2014-12-19,1.5636,1.5682,1.5606
2014-12-22,1.5574,1.5665,1.5574
2014-12-23,1.5509,1.5608,1.5487
2014-12-24,1.5557,1.5561,1.5505
2014-12-25,1.5571,1.5575,1.5537
2014-12-26,1.5553,1.5568,1.5538
2014-12-29,1.551,1.5586,1.5508
2014-12-30,1.5553,1.5573,1.5501
2014-12-31,1.5583,1.562,1.555
2015-01-01,1.555,1.5584,1.5552
2015-01-02,1.5333,1.5587,1.5328
2015-01-05,1.5259,1.5333,1.5182
2015-01-06,1.5153,1.5275,1.5149
2015-01-07,1.5106,1.5155,1.5055
2015-01-08,1.5084,1.5118,1.5035
2015-01-09,1.5164,1.5176,1.5078
2015-01-12,1.5176,1.5194,1.5099
2015-01-13,1.5157,1.5192,1.5078
2015-01-14,1.5227,1.5269,1.5146
2015-01-15,1.518,1.5267,1.5151
2015-01-16,1.5153,1.5235,1.5075
2015-01-19,1.5113,1.5179,1.5108
2015-01-20,1.5156,1.52,1.5058
