Results,USD/JPY Close,USD/JPY High,USD/JPY Low
Average,110.009,110.356,109.552
Minimum, 101.241, 101.388, 100.798
Maximum, 121.420, 122.023, 121.135
Std,   7.688,   7.804,   7.533
# In Calc, 258, 258, 258

Date,USD/JPY Close,USD/JPY High,USD/JPY Low
2014-11-28,118.662,118.765,117.698
2014-12-01,118.342,119.144,117.877
2014-12-02,119.263,119.287,118.14
2014-12-03,119.808,119.865,119.132
2014-12-04,119.83,120.252,119.34
2014-12-05,121.42,121.688,119.706
2014-12-08,120.549,121.847,120.205
2014-12-09,119.694,121.002,117.941
2014-12-10,117.972,119.917,117.757
2014-12-11,119.25,119.556,117.443
2014-12-12,118.615,119.206,118.055
2014-12-15,117.593,119.06,117.568
2014-12-16,117.141,118.01,115.572
2014-12-17,118.68,118.9,116.3
2014-12-18,118.77,119.31,118.262
2014-12-19,119.565,119.623,118.824
2014-12-22,119.978,120.016,119.316
2014-12-23,120.74,120.814,119.973
2014-12-24,120.448,120.8,120.281
2014-12-25,120.105,120.503,120.004
2014-12-26,120.388,120.464,120.111
2014-12-29,120.72,120.74,120.18
2014-12-30,119.537,120.71,118.867
2014-12-31,119.8,119.94,119.25
2015-01-01,119.66,119.78,119.7
2015-01-02,120.46,120.74,119.73
2015-01-05,119.634,120.646,119.379
2015-01-06,118.67,119.64,118.06
2015-01-07,119.125,119.648,118.397
2015-01-08,119.66,119.96,119.16
2015-01-09,118.538,119.877,118.424
2015-01-12,118.251,119.32,118.103
2015-01-13,117.855,118.85,117.541
2015-01-14,117.3,117.96,116.07
2015-01-15,116.42,117.943,116.242
2015-01-16,117.632,117.77,115.856
2015-01-19,117.656,117.785,116.927
2015-01-20,118.727,118.867,117.572
2015-01-21,117.814,118.83,117.184
2015-01-22,118.58,118.64,117.25
2015-01-23,117.81,118.815,117.542
2015-01-26,118.44,118.49,117.27
2015-01-27,117.82,118.66,117.34
2015-01-28,117.52,118.26,117.45
2015-01-29,118.352,118.493,117.388
2015-01-30,117.425,118.461,117.302
2015-02-02,117.476,117.878,116.67
2015-02-03,117.56,117.74,116.87
2015-02-04,117.309,117.998,117.242
2015-02-05,117.566,117.597,117.025
2015-02-06,118.845,119.221,117.177
2015-02-09,118.617,119.18,118.335
2015-02-10,119.38,119.62,118.402
2015-02-11,120.37,120.44,119.29
2015-02-12,118.874,120.47,118.513
2015-02-13,118.743,119.198,118.416
2015-02-16,118.45,118.785,118.198
2015-02-17,119.269,119.417,118.24
2015-02-18,118.601,119.418,118.546
2015-02-19,118.983,119.18,118.439
2015-02-20,119.114,119.189,118.303
2015-02-23,118.838,119.353,118.816
2015-02-24,118.899,119.838,118.764
2015-02-25,118.831,119.066,118.628
2015-02-26,119.484,119.503,118.68
2015-02-27,119.633,119.799,119.117
2015-03-02,120.13,120.17,119.65
2015-03-03,119.704,120.266,119.382
2015-03-04,119.73,119.825,119.471
2015-03-05,120.146,120.421,119.627
2015-03-06,120.702,121.282,119.904
2015-03-09,121.18,121.415,120.614
2015-03-10,121.117,122.023,120.921
2015-03-11,121.401,121.626,120.855
2015-03-12,121.381,121.686,120.661
2015-03-13,121.413,121.573,121.135
2015-03-16,121.42,121.46,121.09
2015-03-17,121.368,121.519,121.115
2015-03-18,120,121.409,119.303
2015-03-19,120.91,121.03,119.68
2015-03-20,120.102,121.201,119.903
2015-03-23,119.769,120.166,119.587
2015-03-24,119.712,119.984,119.225
2015-03-25,119.539,119.827,119.239
2015-03-26,119.253,119.574,118.331
2015-03-27,119.114,119.493,118.931
2015-03-30,120.162,120.227,119.122
2015-03-31,119.916,120.365,119.781
